Id,0:SPI: MOSI data
,从这里开始，3个一组
1,2
2,0
3,4
4,2
5,0
6,1
7,2
8,0
9,0
10,2
11,8D
12,11
13,2
14,B9
15,0
16,2
17,C4
18,70
19,2
20,C9
21,1
22,2
23,EC
24,92
25,2
26,F1
27,BB
28,2
29,F3
30,44
31,3
32,B5
33,FF
34,3
35,B6
36,7
37,3
38,B9
39,1
40,3
41,BA
42,0
43,3
44,BB
45,2
46,3
47,BC
48,0
49,2
50,0
51,24
52,2
53,1
54,80
55,2
56,0D
57,0
58,2
59,0E
60,0
61,2
62,0F
63,0
64,2
65,10
66,0
67,2
68,32
69,0
70,2
71,33
72,0
73,2
74,34
75,5
76,2
77,35
78,0
79,2
80,3F
81,0
82,2
83,5A
84,13
85,2
86,60
87,4
88,2
89,63
90,20
91,2
92,6C
93,4
94,4
95,70
96,70
97,4
98,72
99,10
100,2
101,11
102,0
,从这里开始，4个一组
103,2
104,2
105,FF
106,FF
107,2
108,4
109,37
110,BD
111,2
112,6
113,80
114,7
115,2
116,75
117,0
118,0
119,2
120,77
121,0
122,0
